site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon
-------,-----,----------------------------------------,-------,-------,--------,---------,--------------,---,----------,--------,------,NA,NA,NA,NA
001035,01,PARRY CREEK FARM,2002,..,-15.5972,128.2783,GPS,WA,20.0,..,..,"Unnamed location, WA ",/places/wa/FB8S/?location=Unnamed location,-15.597,128.278
001036,01,DOONGAN ASA,2012,..,-15.3792,126.3108,GPS,WA,383.5,384.9,99215,"Drysdale River, WA ",/places/wa/F8B2/?location=Drysdale River,-15.379,126.311
002000,02,ALICE DOWNS,1904,2004,-17.7569,127.9386,GPS,WA,363.0,..,..,"Ord River, WA ",/places/wa/DXR3/?location=Ord River,-17.757,127.939
002001,02,ARGYLE DOWNS,1890,..,-16.5039,128.9173,GPS,WA,120.0,..,..,"Lake Argyle, WA ",/places/wa/FB56/?location=Lake Argyle,-16.504,128.917
002002,02,BOHEMIA DOWNS,1906,1959,-18.8833,126.2333,.....,WA,..,..,..,"Mueller Ranges, WA ",/places/wa/DW84/?location=Mueller Ranges,-18.883,126.233
002003,02,BOW RIVER,1945,1995,-16.8700,128.1836,.....,WA,194.0,..,..,"Durack, WA ",/places/wa/DZB7/?location=Durack,-16.870,128.184
002004,02,GLEN HILL,1962,1964,-16.5833,128.3667,.....,WA,..,..,..,"Lake Argyle, WA ",/places/wa/FB10/?location=Lake Argyle,-16.583,128.367
002005,02,CARLTON HILL,1897,..,-15.4864,128.5344,GPS,WA,20.0,..,..,"Cambridge Gulf, WA ",/places/wa/FB9Y/?location=Cambridge Gulf,-15.486,128.534
002006,02,ASCOT,1910,1921,-15.5000,128.2500,.....,WA,..,..,..,"Cambridge Gulf, WA ",/places/wa/FB8W/?location=Cambridge Gulf,-15.500,128.250
002007,02,DUNHAM RIVER STATION,1920,1973,-16.3167,128.2500,.....,WA,..,..,..,"Durack, WA ",/places/wa/FB0W/?location=Durack,-16.317,128.250
002008,02,FLORA VALLEY OLD,1898,1975,-18.3167,128.0000,.....,WA,..,..,..,"Ord River, WA ",/places/wa/DWZW/?location=Ord River,-18.317,128.000
002009,02,GIBB RIVER,1922,..,-16.4202,126.4412,GPS,WA,488.0,..,..,"Gibb, WA ",/places/wa/F80U/?location=Gibb,-16.420,126.441
002010,02,GORDON DOWNS,1919,1997,-18.7506,128.5842,.....,WA,354.0,..,..,"Sturt Creek, WA ",/places/wa/DY9V/?location=Sturt Creek,-18.751,128.584
002011,02,OLD HALLS CREEK,1890,1999,-18.2519,127.7817,.....,WA,360.0,..,..,"Ord River, WA ",/places/wa/DWYX/?location=Ord River,-18.252,127.782
