site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon
-------,-----,----------------------------------------,-------,-------,--------,---------,--------------,---,----------,--------,------,NA,NA,NA,NA
023345,23B,RHYNIE,1899,1929,-34.1333,138.6833,.....,SA,..,..,..,"Rhynie, SA ",/places/sa/rhynie/,-34.133,138.683
023346,23B,KAPUNDA RESERVOIR,1878,1923,-34.3000,138.8500,.....,SA,340.0,..,..,"Unnamed location, SA ",/places/sa/KHVN/?location=Unnamed location,-34.300,138.850
023347,23B,STOCKPORT (STOCKWELL ROAD BRIDGE),1990,..,-34.4645,139.0389,GPS,SA,284.0,..,..,"Moorooroo, SA ",/places/sa/KHVG/?location=Moorooroo,-34.465,139.039
023348,23B,SHEA-OAK LOG (GREENOCK CREEK),2002,..,-34.5103,138.8350,GPS,SA,140.0,..,..,"Unnamed location, SA ",/places/sa/KHUF/?location=Unnamed location,-34.510,138.835
023349,23B,SADDLEWORTH (GUMDALE),2003,..,-34.0904,138.7947,GPS,SA,337.0,..,..,"Saddleworth, SA ",/places/sa/KJHF/?location=Saddleworth,-34.090,138.795
023350,23B,KOONOWLA,1899,1907,-34.0500,138.7167,.....,SA,304.8,..,..,"Upper Wakefield, SA ",/places/sa/KJH7/?location=Upper Wakefield,-34.050,138.717
023351,23B,KOONUNGA,1894,1909,-34.3667,139.0000,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KHVT/?location=Unnamed location,-34.367,139.000
023352,23B,KAPUNDA HOSPITAL,1880,1903,-34.3500,138.9167,.....,SA,233.8,..,..,"Kapunda, SA ",/places/sa/kapunda/,-34.350,138.917
023353,23B,TANUNDA (CHATEAU LEONAY),1967,1993,-34.5075,138.9750,.....,SA,255.0,..,..,"Nuriootpa, SA ",/places/sa/nuriootpa/,-34.508,138.975
023354,23B,KAPUNDA (BAGOT WELL),1969,..,-34.3121,139.0077,GPS,SA,295.0,..,..,"Bagot Well, SA ",/places/sa/bagot-well/,-34.312,139.008
023355,23B,RIVERTON (LEEWARD),1969,..,-34.2070,138.7886,GPS,SA,275.0,..,..,"Gilbert, SA ",/places/sa/gilbert/,-34.207,138.789
023356,23B,HAMLEY BRIDGE (LINWOOD),1969,..,-34.3854,138.7630,GPS,SA,169.0,..,..,"Light, SA ",/places/sa/KHUS/?location=Light,-34.385,138.763
023357,23B,NURIOOTPA,2003,..,-34.4709,138.9991,GPS,SA,270.0,..,..,"Unnamed location, SA ",/places/sa/KHVE/?location=Unnamed location,-34.471,138.999
023358,23B,KANGARILLA SECTION 6,1969,1976,-35.1667,138.6167,.....,SA,198.1,..,..,"Unnamed location, SA ",/places/sa/KHKJ/?location=Unnamed location,-35.167,138.617
023359,23B,RHYNIE (LLANELLY),1969,2000,-34.1824,138.5878,GPS,SA,222.0,..,..,"Unnamed location, SA ",/places/sa/KJ5B/?location=Unnamed location,-34.182,138.588
023360,23B,ST KITTS,1957,..,-34.3303,139.0923,GPS,SA,435.0,..,..,"Unnamed location, SA ",/places/sa/KHYJ/?location=Unnamed location,-34.330,139.092
023361,23B,HAMILTON,1964,2014,-34.2129,138.8714,GPS,SA,372.0,..,..,"Hamilton, SA ",/places/sa/hamilton/,-34.213,138.871
023362,23B,MCLAREN VALE SECTION 171,1973,1981,-35.2333,138.5167,.....,SA,70.0,..,..,"Unnamed location, SA ",/places/sa/KH7E/?location=Unnamed location,-35.233,138.517
023363,23B,ROWLAND FLAT 4,1883,1987,-34.5833,138.9333,.....,SA,229.0,..,..,"Barossa, SA ",/places/sa/KHV2/?location=Barossa,-34.583,138.933
023364,23B,ANLABY,1957,1977,-34.2167,138.9667,.....,SA,350.0,..,..,"Julia Creek, SA ",/places/sa/julia-creek/,-34.217,138.967
023365,23B,TARLEE WEST (HAZELTON),1959,..,-34.2318,138.6952,GPS,SA,270.0,..,..,"Unnamed location, SA ",/places/sa/KHUR/?location=Unnamed location,-34.232,138.695
023366,23B,TANUNDA CARAVAN PARK,1989,1999,-34.5333,138.9478,.....,SA,238.0,..,..,"Unnamed location, SA ",/places/sa/KHV3/?location=Unnamed location,-34.533,138.948
023367,23B,ANGASTON CREEK (SALTRAMS GULLY),1989,2010,-34.4975,139.0300,.....,SA,293.0,..,..,"Moorooroo, SA ",/places/sa/KHVF/?location=Moorooroo,-34.498,139.030
023368,23B,LYNDOCH CREEK (YALDARA),1989,2002,-34.5767,138.8728,.....,SA,143.0,..,..,"Barossa, SA ",/places/sa/KHV0/?location=Barossa,-34.577,138.873
023369,23B,GREENOCK ALERT,1991,..,-34.4556,138.9221,GPS,SA,295.0,..,..,"Unnamed location, SA ",/places/sa/KHV7/?location=Unnamed location,-34.456,138.922
023370,23B,STOCKPORT (CLIFTON),1989,..,-34.3143,138.7293,GPS,SA,160.0,..,..,"Light, SA ",/places/sa/KHUW/?location=Light,-34.314,138.729
023371,23B,ROWLAND FLAT (JACOBS CREEK),1987,2008,-34.5654,138.9373,GPS,SA,228.0,..,..,"Unnamed location, SA ",/places/sa/KHV3/?location=Unnamed location,-34.565,138.937
023372,23B,BAROSSA VALLEY (DUCKPONDS CREEK),1994,..,-34.4491,139.0621,GPS,SA,352.0,..,..,"Moorooroo, SA ",/places/sa/KHVG/?location=Moorooroo,-34.449,139.062
023373,23B,NURIOOTPA PIRSA,1996,..,-34.4761,139.0056,GPS,SA,275.0,276.0,94681,"Nuriootpa, SA ",/places/sa/nuriootpa/,-34.476,139.006
023374,23B,HANSBOROUGH,2004,..,-34.2523,139.0183,GPS,SA,341.0,..,..,"Unnamed location, SA ",/places/sa/KHVX/?location=Unnamed location,-34.252,139.018
023375,23B,PENRICE,2004,2013,-34.4629,139.0599,GPS,SA,300.0,..,..,"Moorooroo, SA ",/places/sa/KHVG/?location=Moorooroo,-34.463,139.060
023376,23B,ROWLAND FLAT (JACOBS CREEK (BAROSSA VALL,2004,..,-34.5647,138.9406,GPS,SA,260.0,..,..,"Unnamed location, SA ",/places/sa/KHV3/?location=Unnamed location,-34.565,138.941
023377,23B,NORTH PARA RIVER (YALDARA),2004,2013,-34.5744,138.8759,GPS,SA,140.0,..,..,"Unnamed location, SA ",/places/sa/KHV1/?location=Unnamed location,-34.574,138.876
023378,23B,KAPUNDA (MINGAYS WATERHOLE),2005,2013,-34.3572,138.9734,GPS,SA,232.0,..,..,"Unnamed location, SA ",/places/sa/KHVT/?location=Unnamed location,-34.357,138.973
023379,23B,MOUNT RUFUS (DUTTON),2017,..,-34.3090,139.1215,Unknown,SA,512.0,..,..,"Unnamed location, SA ",/places/sa/KHYN/?location=Unnamed location,-34.309,139.121
023380,23B,KAPUNDA WEST (KAPLEE),2018,..,-34.3020,138.8451,GPS,SA,391.0,..,..,"Light, SA ",/places/sa/KHUY/?location=Light,-34.302,138.845
023381,23B,NGAPALA,2018,..,-34.0628,139.0063,GPS,SA,509.0,..,..,"Ngapala, SA ",/places/sa/ngapala/,-34.063,139.006
023382,23B,ANGASTON (MILTON PARK (CORNBROOK)),2018,..,-34.4968,139.0840,GPS,SA,356.0,..,..,"Moorooroo, SA ",/places/sa/KHVF/?location=Moorooroo,-34.497,139.084
023383,23B,GOMERSAL (WOODBRIDGE),2018,..,-34.5380,138.9106,MAP 1:25 000,SA,217.0,..,..,"Unnamed location, SA ",/places/sa/KHV3/?location=Unnamed location,-34.538,138.911
023700,23C,ALDINGA POST OFFICE,1893,1992,-35.2692,138.4772,.....,SA,15.2,..,..,"Unnamed location, SA ",/places/sa/KH77/?location=Unnamed location,-35.269,138.477
023701,23C,ASHBOURNE,1886,1999,-35.3114,138.7517,.....,SA,125.0,..,..,"Kondoparinga, SA ",/places/sa/KHKD/?location=Kondoparinga,-35.311,138.752
023702,23C,ASHTON 1,1898,1950,-34.9167,138.7333,.....,SA,502.9,..,..,"Onkaparinga, SA ",/places/sa/KHSD/?location=Onkaparinga,-34.917,138.733
023703,23C,BELAIR (KALYRA),1895,1996,-35.0042,138.6147,.....,SA,305.0,..,..,"Unnamed location, SA ",/places/sa/KHS0/?location=Unnamed location,-35.004,138.615
023704,23C,BELAIR (STATE FLORA NURSERY),1879,..,-35.0076,138.6498,GPS,SA,305.0,..,..,"Unnamed location, SA ",/places/sa/KHS0/?location=Unnamed location,-35.008,138.650
023705,23C,BIRDWOOD,1887,..,-34.8041,138.9451,GPS,SA,389.0,..,..,"Talunga, SA ",/places/sa/talunga/,-34.804,138.945
023706,23C,BLACKWOOD POST OFFICE,1928,1979,-35.0167,138.6167,.....,SA,265.0,..,..,"Unnamed location, SA ",/places/sa/KHS0/?location=Unnamed location,-35.017,138.617
023707,23C,BRIDGEWATER,1861,..,-35.0096,138.7568,GPS,SA,402.0,..,..,"Stirling, SA ",/places/sa/stirling/,-35.010,138.757
023708,23C,SECOND VALLEY (SPRING GROVE),1876,2009,-35.5577,138.2165,MAP 1:50 000,SA,290.0,..,..,"Unnamed location, SA ",/places/sa/KH4M/?location=Unnamed location,-35.558,138.216
023709,23C,CHERRY GARDENS,1899,..,-35.0611,138.6585,GPS,SA,376.0,..,..,"Unnamed location, SA ",/places/sa/KHKP/?location=Unnamed location,-35.061,138.659
023710,23C,CLARENDON,1867,..,-35.1112,138.6205,GPS,SA,267.0,..,..,"Unnamed location, SA ",/places/sa/KHKN/?location=Unnamed location,-35.111,138.620
023711,23C,COROMANDEL VALLEY (BRANDEN),1890,1986,-35.0333,138.6167,.....,SA,180.0,..,..,"Unnamed location, SA ",/places/sa/KHKP/?location=Unnamed location,-35.033,138.617
023712,23C,DINGO VALE,1880,1951,-34.8667,138.8333,.....,SA,345.0,..,..,"Cudlee Creek, SA ",/places/sa/cudlee-creek/,-34.867,138.833
023713,23C,ECHUNGA GOLF COURSE,1879,..,-35.0960,138.7887,GPS,SA,370.0,..,..,"Echunga, SA ",/places/sa/echunga/,-35.096,138.789
023714,23C,FINNISS,1898,..,-35.3736,138.8060,GPS,SA,35.0,..,..,"Kondoparinga, SA ",/places/sa/KHKC/?location=Kondoparinga,-35.374,138.806
023715,23C,HOUGHTON (GLEN EWIN),1902,1987,-34.8167,138.7500,.....,SA,340.0,..,..,"Yatala, SA ",/places/sa/KHSS/?location=Yatala,-34.817,138.750
023716,23C,GLENTHORNE EXP STATION,1950,1984,-35.0500,138.5500,.....,SA,185.0,..,..,"Unnamed location, SA ",/places/sa/KH7Z/?location=Unnamed location,-35.050,138.550
023717,23C,GOLDEN GROVE,1906,1965,-34.7667,138.7333,.....,SA,182.9,..,..,"Yatala, SA ",/places/sa/KHST/?location=Yatala,-34.767,138.733
023718,23C,GOOLWA COUNCIL DEPOT,1861,..,-35.4984,138.7657,GPS,SA,5.0,..,..,"Unnamed location, SA ",/places/sa/KHHW/?location=Unnamed location,-35.498,138.766
023719,23C,GUMERACHA,1868,..,-34.8237,138.8859,GPS,SA,339.0,..,..,"Talunga, SA ",/places/sa/KHTH/?location=Talunga,-34.824,138.886
023720,23C,HAHNDORF,1883,..,-35.0245,138.8115,GPS,SA,341.0,..,..,"Onkaparinga, SA ",/places/sa/KHSB/?location=Onkaparinga,-35.025,138.811
023721,23C,HAPPY VALLEY RESERVOIR,1859,..,-35.0591,138.5662,Unknown,SA,174.0,..,..,"Unnamed location, SA ",/places/sa/KH7Z/?location=Unnamed location,-35.059,138.566
023722,24B,HARROGATE,1896,..,-34.9303,139.0140,GPS,SA,365.0,..,..,"Harrogate, SA ",/places/sa/harrogate/,-34.930,139.014
023723,23C,INMAN VALLEY,1933,..,-35.4908,138.4746,GPS,SA,91.0,..,..,"Unnamed location, SA ",/places/sa/KH5Q/?location=Unnamed location,-35.491,138.475
023724,24B,KANMANTOO,1874,..,-35.0739,139.0036,GPS,SA,195.0,..,..,"Unnamed location, SA ",/places/sa/KHMX/?location=Unnamed location,-35.074,139.004
023725,23C,KEYNETON,1908,..,-34.5572,139.1337,GPS,SA,379.0,..,..,"Jellicoe, SA ",/places/sa/KHY1/?location=Jellicoe,-34.557,139.134
023726,23C,LOBETHAL,1883,..,-34.9044,138.8742,GPS,SA,459.0,..,..,"Onkaparinga, SA ",/places/sa/KHT4/?location=Onkaparinga,-34.904,138.874
023727,23C,LONGWOOD,1949,2025,-35.0484,138.7354,GPS,SA,425.0,..,..,"Unnamed location, SA ",/places/sa/KHKX/?location=Unnamed location,-35.048,138.735
023728,23C,MACCLESFIELD,1885,..,-35.1890,138.8262,GPS,SA,311.0,..,..,"Unnamed location, SA ",/places/sa/KHKU/?location=Unnamed location,-35.189,138.826
023729,23C,MCLAREN VALE,1938,1998,-35.2200,138.5408,.....,SA,65.0,..,..,"Unnamed location, SA ",/places/sa/KH7S/?location=Unnamed location,-35.220,138.541
023730,23C,MEADOWS,1887,..,-35.1797,138.7647,GPS,SA,360.0,..,..,"Unnamed location, SA ",/places/sa/KHKS/?location=Unnamed location,-35.180,138.765
023731,23C,CUDLEE CREEK (MILLBROOK RESERVOIR),1914,..,-34.8331,138.8215,GPS,SA,315.0,..,..,"Cudlee Creek, SA ",/places/sa/cudlee-creek/,-34.833,138.821
023732,23C,ADELAIDE (MORPHETT VALE),1886,..,-35.1351,138.5274,GPS,SA,92.0,..,..,"Noarlunga, SA ",/places/sa/noarlunga/,-35.135,138.527
023733,23C,MOUNT BARKER,1861,..,-35.0732,138.8466,GPS,SA,359.0,..,94806,"Mount Barker, SA ",/places/sa/mount-barker/,-35.073,138.847
023734,23C,MOUNT BOLD RESERVOIR,1938,..,-35.1213,138.6769,GPS,SA,251.0,..,..,"Unnamed location, SA ",/places/sa/KHKQ/?location=Unnamed location,-35.121,138.677
023735,23C,MOUNT COMPASS,1922,..,-35.3501,138.6221,GPS,SA,229.0,..,..,"Unnamed location, SA ",/places/sa/KHK1/?location=Unnamed location,-35.350,138.622
023736,23C,MOUNT LOFTY SUMMIT,1905,1956,-34.9667,138.7167,.....,SA,726.6,..,..,"Unnamed location, SA ",/places/sa/KHS3/?location=Unnamed location,-34.967,138.717
023737,23C,MOUNT PLEASANT,1875,..,-34.7735,139.0501,GPS,SA,430.0,..,..,"Mount Pleasant, SA ",/places/sa/KHTV/?location=Mount Pleasant,-34.773,139.050
023738,23C,MYPONGA,1914,..,-35.3912,138.4642,GPS,SA,216.0,..,..,"Unnamed location, SA ",/places/sa/KH72/?location=Unnamed location,-35.391,138.464
023739,23C,NAIRNE,1884,..,-35.0369,138.9130,GPS,SA,370.0,..,..,"Unnamed location, SA ",/places/sa/KHMR/?location=Unnamed location,-35.037,138.913
023740,23C,OLD NOARLUNGA POST OFFICE,1876,1998,-35.1850,138.5017,.....,SA,8.0,..,..,"Unnamed location, SA ",/places/sa/KH7S/?location=Unnamed location,-35.185,138.502
023741,23C,NORMANVILLE,1867,..,-35.4519,138.3227,GPS,SA,15.0,..,..,"Unnamed location, SA ",/places/sa/KH4Z/?location=Unnamed location,-35.452,138.323
023742,23C,PORT ELLIOT CARAVAN PARK,1867,..,-35.5299,138.6896,GPS,SA,10.0,..,..,"Port Elliot, SA ",/places/sa/KHHM/?location=Port Elliot,-35.530,138.690
023743,23C,VICTOR HARBOR (RIVINGTON GRANGE),1910,..,-35.5416,138.5038,GPS,SA,82.0,..,..,"Unnamed location, SA ",/places/sa/KH5T/?location=Unnamed location,-35.542,138.504
023744,23C,SECOND VALLEY (POOLAMACCA),1883,..,-35.5359,138.2340,GPS,SA,115.0,..,..,"Unnamed location, SA ",/places/sa/KH4M/?location=Unnamed location,-35.536,138.234
023745,23C,STIRLING,1884,1964,-35.0333,138.7167,.....,SA,496.2,..,..,"Unnamed location, SA ",/places/sa/KHKR/?location=Unnamed location,-35.033,138.717
023746,23C,STONYFELL,1865,1982,-34.9333,138.6667,.....,SA,250.0,..,..,"Unnamed location, SA ",/places/sa/KHS1/?location=Unnamed location,-34.933,138.667
023747,23C,STRATHALBYN,1861,..,-35.2560,138.8901,GPS,SA,70.0,..,94810,"Unnamed location, SA ",/places/sa/KHM5/?location=Unnamed location,-35.256,138.890
023748,23C,ADELAIDE (TEA TREE GULLY COUNCIL),1882,2019,-34.8307,138.7051,GPS,SA,145.0,..,..,"Yatala, SA ",/places/sa/yatala/,-34.831,138.705
023749,23C,TORRENS VALE,1901,1945,-35.5000,138.3833,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KH5N/?location=Unnamed location,-35.500,138.383
023750,23C,URAIDLA,1890,..,-34.9563,138.7443,GPS,SA,487.0,..,..,"Onkaparinga, SA ",/places/sa/KHS9/?location=Onkaparinga,-34.956,138.744
023751,23C,VICTOR HARBOR COMPARISON,1882,2002,-35.5550,138.6217,.....,SA,5.0,..,..,"Unnamed location, SA ",/places/sa/KHHJ/?location=Unnamed location,-35.555,138.622
023752,23C,WILLIAMSTOWN,1880,..,-34.6508,138.8780,GPS,SA,260.0,..,..,"Barossa, SA ",/places/sa/barossa/,-34.651,138.878
023753,23C,WILLUNGA,1862,..,-35.2705,138.5591,GPS,SA,104.0,..,..,"Unnamed location, SA ",/places/sa/KH7G/?location=Unnamed location,-35.270,138.559
023754,23C,YANKALILLA,1892,..,-35.4581,138.3501,GPS,SA,45.0,..,..,"Unnamed location, SA ",/places/sa/KH4Z/?location=Unnamed location,-35.458,138.350
023755,23C,WILLIAMSTOWN (CROMER),1951,1960,-34.7333,138.9667,.....,SA,405.0,..,..,"Para Wirra, SA ",/places/sa/KHTT/?location=Para Wirra,-34.733,138.967
023756,23C,WILLIAMSTOWN (GLEN GILLIAN),1951,..,-34.6603,138.9262,GPS,SA,390.0,..,..,"Barossa, SA ",/places/sa/KHTR/?location=Barossa,-34.660,138.926
023757,23C,CRAFERS ST MICHAELS HOUSE,1951,1982,-34.9833,138.7167,.....,SA,671.0,..,..,"Unnamed location, SA ",/places/sa/KHS2/?location=Unnamed location,-34.983,138.717
023758,23C,KERSBROOK (MABENJO),1951,..,-34.7398,138.8715,GPS,SA,282.0,..,..,"Para Wirra, SA ",/places/sa/para-wirra/,-34.740,138.871
023759,23C,VERT PAYS,1951,1951,-34.6833,139.0167,.....,SA,..,..,..,"Mount Crawford, SA ",/places/sa/mount-crawford/,-34.683,139.017
023760,23C,HINDMARSH VALLEY,1887,1944,-35.5000,138.6167,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KHHN/?location=Unnamed location,-35.500,138.617
023761,23C,PARAWA (SHARON),1942,..,-35.5564,138.3416,GPS,SA,367.0,..,..,"Unnamed location, SA ",/places/sa/KH4V/?location=Unnamed location,-35.556,138.342
023762,23C,WILLOW CREEK,1954,1987,-35.5667,138.4500,.....,SA,210.0,..,..,"Unnamed location, SA ",/places/sa/KH5M/?location=Unnamed location,-35.567,138.450
023763,23C,MOUNT CRAWFORD FOREST HEADQUARTERS,1954,2021,-34.7122,138.9469,GPS,SA,395.0,..,..,"Barossa, SA ",/places/sa/KHTQ/?location=Barossa,-34.712,138.947
023764,23C,MOUNT LOFTY (HARDYS),1858,1888,-34.9833,138.7167,.....,SA,670.6,..,..,"Unnamed location, SA ",/places/sa/KHS2/?location=Unnamed location,-34.983,138.717
023765,23C,MOUNT LOFTY (KORRALLA),1889,1924,-34.9833,138.7167,.....,SA,670.0,..,..,"Unnamed location, SA ",/places/sa/KHS2/?location=Unnamed location,-34.983,138.717
023766,23C,MOUNT LOFTY RAILWAY STATION,1890,1911,-35.0167,138.7167,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KHS2/?location=Unnamed location,-35.017,138.717
023767,23C,NORTON SUMMIT,1962,1974,-34.9167,138.7333,.....,SA,438.9,..,..,"Onkaparinga, SA ",/places/sa/KHSD/?location=Onkaparinga,-34.917,138.733
023768,23C,ALDGATE STATE SCHOOL,1890,1928,-35.0167,138.7500,.....,SA,430.0,..,..,"Stirling, SA ",/places/sa/stirling/,-35.017,138.750
023769,23C,BATTUNGA,1879,1922,-35.1167,138.8667,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KHMN/?location=Unnamed location,-35.117,138.867
023770,23C,BLAIR PUBLIC SCHOOL,1921,1936,-35.0000,138.6333,.....,SA,310.0,..,..,"Unnamed location, SA ",/places/sa/KHS0/?location=Unnamed location,-35.000,138.633
023771,23C,BLETCHLEY,1909,1920,-35.2000,138.9833,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KHMS/?location=Unnamed location,-35.200,138.983
023772,23C,BULL CREEK (MARBLE HOUSE),1899,1929,-35.2500,138.7667,.....,SA,215.0,..,..,"Kondoparinga, SA ",/places/sa/KHKE/?location=Kondoparinga,-35.250,138.767
023773,23C,CAPE JERVIS LIGHTHOUSE,1875,1939,-35.6167,138.0833,.....,SA,..,..,..,"Cape Jervis, SA ",/places/sa/KH1U/?location=Cape Jervis,-35.617,138.083
023774,23C,CAPE JERVIS STATION,1898,1921,-35.6167,138.0833,.....,SA,..,..,..,"Cape Jervis, SA ",/places/sa/KH1U/?location=Cape Jervis,-35.617,138.083
023775,23C,CLARENDON (BLOXHOLME),1883,1923,-35.0833,138.6167,.....,SA,360.0,..,..,"Unnamed location, SA ",/places/sa/KHKN/?location=Unnamed location,-35.083,138.617
023776,23C,MERRILEA,1919,1934,-35.4167,138.7167,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KHK2/?location=Unnamed location,-35.417,138.717
023777,23C,MOUNT JAGGED,1898,1919,-35.4000,138.6000,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KH7B/?location=Unnamed location,-35.400,138.600
023778,23C,MOUNT TORRENS,1876,1938,-34.8833,138.9667,.....,SA,..,..,..,"Mount Torrens, SA ",/places/sa/KHTD/?location=Mount Torrens,-34.883,138.967
023779,23C,STURT,1887,1927,-35.0167,138.5667,.....,SA,..,..,..,"Unnamed location, SA ",/places/sa/KHEB/?location=Unnamed location,-35.017,138.567
023780,23C,TUNGKILLO (TERLINGA),1907,1916,-34.8333,139.0500,.....,SA,380.0,..,..,"Unnamed location, SA ",/places/sa/KHTG/?location=Unnamed location,-34.833,139.050
023781,23C,WATALUNGA ESTATE,1894,1932,-35.3667,138.8333,.....,SA,..,..,..,"Kondoparinga, SA ",/places/sa/KHKC/?location=Kondoparinga,-35.367,138.833
023782,23C,YANKALILLA (WOODVALE),1867,1927,-35.4833,138.3833,.....,SA,120.0,..,..,"Unnamed location, SA ",/places/sa/KH5N/?location=Unnamed location,-35.483,138.383
023783,23C,MYPONGA RESERVOIR,1963,..,-35.4012,138.4262,GPS,SA,215.0,..,..,"Unnamed location, SA ",/places/sa/KH70/?location=Unnamed location,-35.401,138.426
023784,23C,NORTHFIELD,1964,1967,-34.8500,138.7333,.....,SA,..,..,..,"Yatala, SA ",/places/sa/KHSE/?location=Yatala,-34.850,138.733
023785,23C,STIRLING POST OFFICE,1964,1985,-35.0000,138.7167,.....,SA,496.0,..,..,"Unnamed location, SA ",/places/sa/KHS2/?location=Unnamed location,-35.000,138.717
023786,23C,BIRDWOOD (MCVITTIE'S HILL),1999,..,-34.8269,139.0086,GPS,SA,484.0,..,..,"Talunga, SA ",/places/sa/KHTE/?location=Talunga,-34.827,139.009
023787,23C,BALHANNAH (GUMBOOYA),1989,..,-35.0220,138.8552,GPS,SA,406.0,..,..,"Onkaparinga, SA ",/places/sa/KHT0/?location=Onkaparinga,-35.022,138.855
023788,23C,PICCADILLY (MOUNT LOFTY BOTANIC GARDEN),1999,..,-34.9838,138.7179,GPS,SA,510.0,..,..,"Unnamed location, SA ",/places/sa/KHS2/?location=Unnamed location,-34.984,138.718
023789,23C,BULL CREEK 2,1968,1987,-35.2331,138.7669,.....,SA,250.0,..,..,"Kondoparinga, SA ",/places/sa/KHKE/?location=Kondoparinga,-35.233,138.767
023790,23C,ALDINGA (HILDAS DALE),1905,1911,-35.2500,138.5000,.....,SA,40.0,..,..,"Unnamed location, SA ",/places/sa/KH7E/?location=Unnamed location,-35.250,138.500
023791,23C,HOUGHTON,1908,1922,-34.8333,138.7667,.....,SA,372.0,..,..,"Yatala, SA ",/places/sa/KHSE/?location=Yatala,-34.833,138.767
023792,23C,MOUNT BARKER (AUCHENDARROCH),1906,1919,-35.0667,138.8667,.....,SA,335.3,..,..,"Mount Barker, SA ",/places/sa/mount-barker/,-35.067,138.867
023793,23C,MYLOR,1889,1902,-35.0500,138.7667,.....,SA,300.0,..,..,"Unnamed location, SA ",/places/sa/KHKX/?location=Unnamed location,-35.050,138.767
023794,23C,WARRAKILLA,1879,1905,-35.0667,138.7333,.....,SA,304.8,..,..,"Unnamed location, SA ",/places/sa/KHKX/?location=Unnamed location,-35.067,138.733
023795,23C,WOODBURN,1861,1920,-35.3000,138.9833,.....,SA,..,..,..,"Langhorne Creek, SA ",/places/sa/KHMD/?location=Langhorne Creek,-35.300,138.983
023796,23C,SCOTTS CREEK,1914,1921,-35.0667,138.7167,.....,SA,370.0,..,..,"Unnamed location, SA ",/places/sa/KHKR/?location=Unnamed location,-35.067,138.717
023797,23C,PORT ELLIOTT,1887,1920,-35.5167,138.6667,.....,SA,25.0,..,..,"Unnamed location, SA ",/places/sa/KHHN/?location=Unnamed location,-35.517,138.667
023798,23C,LITTLEHAMPTON BLAKISTON PK,1890,1905,-35.0333,138.8667,.....,SA,442.0,..,..,"Mount Barker, SA ",/places/sa/mount-barker/,-35.033,138.867
023799,23C,PROSPECT HILL,1967,..,-35.2183,138.7342,GPS,SA,360.0,..,..,"Unnamed location, SA ",/places/sa/KHKS/?location=Unnamed location,-35.218,138.734
023800,23C,CHARLESTON,1865,1887,-34.9167,138.9000,.....,SA,380.0,..,..,"Onkaparinga, SA ",/places/sa/KHT4/?location=Onkaparinga,-34.917,138.900
023801,23C,LENSWOOD,1967,..,-34.9482,138.8071,GPS,SA,480.0,..,..,"Onkaparinga, SA ",/places/sa/onkaparinga/,-34.948,138.807
023802,23C,GOLDEN GROVE (OLD SILVER ACRES),1969,1977,-34.7800,138.7450,.....,SA,250.0,..,..,"Yatala, SA ",/places/sa/KHSS/?location=Yatala,-34.780,138.745
023803,23C,ASHTON CO-OP,1952,..,-34.9423,138.7270,GPS,SA,540.0,..,..,"Onkaparinga, SA ",/places/sa/KHS9/?location=Onkaparinga,-34.942,138.727
023804,23C,VICTOR HARBOR (ENCOUNTER BAY),2001,..,-35.5544,138.5997,GPS,SA,8.0,..,95811,"Victor Harbor, SA ",/places/sa/victor-harbor/,-35.554,138.600
023805,23C,STRATHALBYN (PATTANGGA),1969,1975,-35.2167,138.8167,.....,SA,243.8,..,..,"Unnamed location, SA ",/places/sa/KHKU/?location=Unnamed location,-35.217,138.817
023806,23C,UPPER HERMITAGE,1969,..,-34.8066,138.7554,GPS,SA,390.0,..,..,"Yatala, SA ",/places/sa/KHSS/?location=Yatala,-34.807,138.755
023807,23C,PARACOMBE,1969,1999,-34.8506,138.7742,.....,SA,412.0,..,..,"Yatala, SA ",/places/sa/KHSE/?location=Yatala,-34.851,138.774
023808,23C,YUNDI,1969,2003,-35.3001,138.6415,GPS,SA,262.0,..,..,"Unnamed location, SA ",/places/sa/KHK4/?location=Unnamed location,-35.300,138.642
023809,23C,MOUNT BONYTHON,1969,1992,-34.9689,138.7133,.....,SA,670.0,..,..,"Unnamed location, SA ",/places/sa/KHS3/?location=Unnamed location,-34.969,138.713
023810,23C,MOUNT LOFTY (CLELAND CONSERVATION PARK),1969,..,-34.9710,138.7042,GPS,SA,582.0,..,..,"Unnamed location, SA ",/places/sa/KHS3/?location=Unnamed location,-34.971,138.704
023811,23C,SECOND VALLEY,1969,1997,-35.5181,138.2150,.....,SA,40.0,..,..,"Unnamed location, SA ",/places/sa/KH4Q/?location=Unnamed location,-35.518,138.215
023812,24B,ROCKLEIGH (BLACK HEATH),1969,..,-34.9392,139.0697,GPS,SA,318.0,..,..,"Rockleigh, SA ",/places/sa/KHTC/?location=Rockleigh,-34.939,139.070
