machine_id,machine,second,minute,tcp_new,udp_new,tcp_end,udp_end,tcp_net_connections,tcp_concurrent,udp_net_connections,udp_concurrent
mb_cap,1,96,2,2,0,0,0,2,15,0,15
mb_cap,1,97,2,2,2,1,3,1,16,-1,14
mb_cap,1,98,2,5,2,2,1,3,19,1,15
mb_cap,1,99,2,0,0,1,0,-1,18,0,15
mb_cap,1,100,2,2,0,0,0,2,20,0,15
mb_cap,1,101,2,1,2,2,2,-1,19,0,15
mb_cap,1,102,2,0,0,0,0,0,19,0,15
mb_cap,1,103,2,0,0,1,0,-1,18,0,15
mb_cap,1,104,2,3,0,0,0,3,21,0,15
mb_cap,1,105,2,0,0,1,0,-1,20,0,15
mb_cap,1,106,2,0,0,0,0,0,20,0,15
mb_cap,1,107,2,2,0,3,0,-1,19,0,15
mb_cap,1,108,2,2,0,0,0,2,21,0,15
mb_cap,1,109,2,1,2,2,1,-1,20,1,16
mb_cap,1,110,2,1,4,0,2,1,21,2,18
mb_cap,1,111,2,1,3,1,2,0,21,1,19
mb_cap,1,112,2,2,0,0,0,2,23,0,19
mb_cap,1,113,2,17,15,2,9,15,38,6,25
mb_cap,1,114,2,0,0,0,0,0,38,0,25
mb_cap,1,115,2,0,0,1,0,-1,37,0,25
mb_cap,1,116,2,2,0,0,0,2,39,0,25
mb_cap,1,117,2,5,4,1,6,4,43,-2,23
mb_cap,1,118,2,3,4,1,5,2,45,-1,22
mb_cap,1,119,2,1,0,1,0,0,45,0,22
mb_cap,1,120,2,2,1,1,1,1,46,0,22
mb_cap,1,121,3,0,0,1,0,-1,45,0,22
mb_cap,1,122,3,0,0,0,0,0,45,0,22
mb_cap,1,123,3,0,0,1,0,-1,44,0,22
mb_cap,1,124,3,4,2,0,1,4,48,1,23
mb_cap,1,125,3,0,0,1,0,-1,47,0,23
mb_cap,1,126,3,0,3,0,3,0,47,0,23
mb_cap,1,127,3,0,1,1,1,-1,46,0,23
mb_cap,1,128,3,2,4,0,3,2,48,1,24
mb_cap,1,129,3,0,16,1,11,-1,47,5,29
mb_cap,1,130,3,0,0,0,1,0,47,-1,28
mb_cap,1,131,3,1,0,2,0,-1,46,0,28
mb_cap,1,132,3,2,0,0,0,2,48,0,28
mb_cap,1,133,3,0,0,0,0,0,48,0,28
mb_cap,1,134,3,0,0,0,0,0,48,0,28
mb_cap,1,135,3,0,0,1,1,-1,47,-1,27
mb_cap,1,136,3,2,7,0,5,2,49,2,29
mb_cap,1,137,3,0,2,1,1,-1,48,1,30
mb_cap,1,138,3,0,0,1,0,-1,47,0,30
mb_cap,1,139,3,2,0,1,0,1,48,0,30
mb_cap,1,140,3,0,0,0,0,0,48,0,30
mb_cap,1,141,3,0,0,0,0,0,48,0,30
mb_cap,1,142,3,0,4,1,4,-1,47,0,30
mb_cap,1,143,3,2,0,2,1,0,47,-1,29
mb_cap,1,144,3,1,0,1,0,0,47,0,29
mb_cap,1,145,3,0,0,0,0,0,47,0,29
mb_cap,1,146,3,1,2,1,1,0,47,1,30
mb_cap,1,147,3,4,4,3,4,1,48,0,30
mb_cap,1,148,3,4,2,0,1,4,52,1,31
mb_cap,1,149,3,0,0,0,0,0,52,0,31
mb_cap,1,150,3,0,0,0,0,0,52,0,31
mb_cap,1,151,3,0,0,1,0,-1,51,0,31
mb_cap,1,152,3,0,0,0,0,0,51,0,31
mb_cap,1,153,3,1,0,1,0,0,51,0,31
mb_cap,1,154,3,0,0,0,0,0,51,0,31
mb_cap,1,155,3,1,0,2,0,-1,50,0,31
mb_cap,1,156,3,2,0,1,0,1,51,0,31
mb_cap,1,157,3,0,0,1,0,-1,50,0,31
mb_cap,1,158,3,0,0,0,0,0,50,0,31
mb_cap,1,159,3,0,0,1,0,-1,49,0,31
mb_cap,1,160,3,2,0,0,0,2,51,0,31
mb_cap,1,161,3,0,0,1,0,-1,50,0,31
mb_cap,1,162,3,0,0,0,0,0,50,0,31
mb_cap,1,163,3,2,5,1,5,1,51,0,31
mb_cap,1,164,3,2,0,0,0,2,53,0,31
mb_cap,1,165,3,0,0,1,1,-1,52,-1,30
mb_cap,1,166,3,0,0,1,0,-1,51,0,30
mb_cap,1,167,3,1,0,2,0,-1,50,0,30
mb_cap,1,168,3,5,6,1,2,4,54,4,34
mb_cap,1,169,3,2,2,3,2,-1,53,0,34
mb_cap,1,170,3,0,0,0,0,0,53,0,34
mb_cap,1,171,3,0,0,1,0,-1,52,0,34
mb_cap,1,172,3,2,0,0,0,2,54,0,34
mb_cap,1,173,3,0,0,7,0,-7,47,0,34
mb_cap,1,174,3,0,0,0,0,0,47,0,34
mb_cap,1,175,3,0,0,1,0,-1,46,0,34
mb_cap,1,176,3,2,0,0,0,2,48,0,34
mb_cap,1,177,3,0,0,1,0,-1,47,0,34
mb_cap,1,178,3,0,0,0,0,0,47,0,34
mb_cap,1,179,3,1,0,2,0,-1,46,0,34
mb_cap,1,180,3,2,1,0,0,2,48,1,35
mb_cap,1,181,4,0,0,1,0,-1,47,0,35
mb_cap,1,182,4,0,0,0,0,0,47,0,35
mb_cap,1,183,4,0,0,1,0,-1,46,0,35
mb_cap,1,184,4,2,3,0,3,2,48,0,35
mb_cap,1,185,4,0,4,1,3,-1,47,1,36
mb_cap,1,186,4,0,0,0,0,0,47,0,36
mb_cap,1,187,4,0,0,1,0,-1,46,0,36
mb_cap,1,188,4,2,0,0,0,2,48,0,36
mb_cap,1,189,4,0,0,1,0,-1,47,0,36
mb_cap,1,190,4,0,0,0,0,0,47,0,36
mb_cap,1,191,4,1,0,2,0,-1,46,0,36
mb_cap,1,192,4,2,0,0,0,2,48,0,36
mb_cap,1,193,4,0,1,2,1,-2,46,0,36
mb_cap,1,194,4,0,0,0,0,0,46,0,36
mb_cap,1,195,4,2,14,1,12,1,47,2,38
mb_cap,1,196,4,7,30,0,21,7,54,9,47
mb_cap,1,197,4,15,30,1,22,14,68,8,55
mb_cap,1,198,4,2,4,0,4,2,70,0,55
mb_cap,1,199,4,1,7,1,8,0,70,-1,54
mb_cap,1,200,4,5,1,1,0,4,74,1,55
mb_cap,1,201,4,0,0,1,0,-1,73,0,55
mb_cap,1,202,4,0,0,0,0,0,73,0,55
mb_cap,1,203,4,2,0,2,0,0,73,0,55
mb_cap,1,204,4,2,0,0,0,2,75,0,55
mb_cap,1,205,4,0,0,1,0,-1,74,0,55
mb_cap,1,206,4,0,0,0,0,0,74,0,55
mb_cap,1,207,4,0,0,1,0,-1,73,0,55
mb_cap,1,208,4,2,4,1,2,1,74,2,57
mb_cap,1,209,4,1,0,1,0,0,74,0,57
mb_cap,1,210,4,0,0,2,0,-2,72,0,57
mb_cap,1,211,4,0,0,1,0,-1,71,0,57
mb_cap,1,212,4,2,0,0,0,2,73,0,57
mb_cap,1,213,4,1,2,1,2,0,73,0,57
mb_cap,1,214,4,0,0,0,0,0,73,0,57
mb_cap,1,215,4,1,0,2,0,-1,72,0,57
mb_cap,1,216,4,2,0,0,0,2,74,0,57
mb_cap,1,217,4,0,0,1,0,-1,73,0,57
mb_cap,1,218,4,0,0,0,1,0,73,-1,56
mb_cap,1,219,4,0,0,1,0,-1,72,0,56
mb_cap,1,220,4,3,0,0,2,3,75,-2,54
mb_cap,1,221,4,1,0,0,0,1,76,0,54
mb_cap,1,222,4,0,0,0,2,0,76,-2,52
mb_cap,1,223,4,2,10,1,8,1,77,2,54
mb_cap,1,224,4,2,0,2,1,0,77,-1,53
mb_cap,1,225,4,0,0,1,0,-1,76,0,53
mb_cap,1,226,4,0,0,0,1,0,76,-1,52
mb_cap,1,227,4,1,0,2,0,-1,75,0,52
mb_cap,1,228,4,2,0,0,0,2,77,0,52
mb_cap,1,229,4,0,0,1,0,-1,76,0,52
mb_cap,1,230,4,0,0,0,0,0,76,0,52
mb_cap,1,231,4,0,0,1,0,-1,75,0,52
mb_cap,1,232,4,3,0,1,0,2,77,0,52
mb_cap,1,233,4,0,0,1,0,-1,76,0,52
mb_cap,1,234,4,0,0,0,0,0,76,0,52
mb_cap,1,235,4,0,0,0,0,0,76,0,52
mb_cap,1,236,4,2,0,0,0,2,78,0,52
mb_cap,1,237,4,0,0,2,0,-2,76,0,52
mb_cap,1,238,4,0,0,0,0,0,76,0,52
mb_cap,1,239,4,1,0,2,0,-1,75,0,52
mb_cap,1,240,4,2,0,0,0,2,77,0,52
mb_cap,1,241,5,0,0,1,1,-1,76,-1,51
mb_cap,1,242,5,0,5,0,3,0,76,2,53
mb_cap,1,243,5,0,0,1,0,-1,75,0,53
mb_cap,1,244,5,2,0,0,0,2,77,0,53
mb_cap,1,245,5,0,0,0,0,0,77,0,53
mb_cap,1,246,5,0,0,0,0,0,77,0,53
mb_cap,1,247,5,0,0,1,0,-1,76,0,53
mb_cap,1,248,5,2,0,0,0,2,78,0,53
mb_cap,1,249,5,0,0,1,0,-1,77,0,53
mb_cap,1,250,5,0,0,0,0,0,77,0,53
mb_cap,1,251,5,1,0,2,0,-1,76,0,53
mb_cap,1,252,5,2,4,0,4,2,78,0,53
mb_cap,1,253,5,2,0,1,0,1,79,0,53
mb_cap,1,254,5,0,0,0,0,0,79,0,53
mb_cap,1,255,5,0,0,1,0,-1,78,0,53
mb_cap,1,256,5,2,0,0,0,2,80,0,53
mb_cap,1,257,5,0,1,1,1,-1,79,0,53
mb_cap,1,258,5,0,0,17,0,-17,62,0,53
mb_cap,1,259,5,0,0,1,0,-1,61,0,53
mb_cap,1,260,5,2,0,0,0,2,63,0,53
mb_cap,1,261,5,0,0,1,0,-1,62,0,53
mb_cap,1,262,5,0,0,1,0,-1,61,0,53
mb_cap,1,263,5,2,0,3,0,-1,60,0,53
mb_cap,1,264,5,2,10,0,7,2,62,3,56
mb_cap,1,265,5,1,1,1,1,0,62,0,56
mb_cap,1,266,5,0,0,0,1,0,62,-1,55
mb_cap,1,267,5,0,0,1,1,-1,61,-1,54
mb_cap,1,268,5,2,2,0,2,2,63,0,54
mb_cap,1,269,5,2,2,2,3,0,63,-1,53
mb_cap,1,270,5,1,1,0,1,1,64,0,53
mb_cap,1,271,5,0,0,1,0,-1,63,0,53
mb_cap,1,272,5,2,0,1,0,1,64,0,53
mb_cap,1,273,5,0,0,1,0,-1,63,0,53
mb_cap,1,274,5,0,0,0,0,0,63,0,53
mb_cap,1,275,5,1,0,2,0,-1,62,0,53
mb_cap,1,276,5,2,0,0,0,2,64,0,53
mb_cap,1,277,5,0,0,1,0,-1,63,0,53
mb_cap,1,278,5,0,0,0,0,0,63,0,53
mb_cap,1,279,5,1,1,0,0,1,64,1,54
mb_cap,1,280,5,2,0,0,0,2,66,0,54
mb_cap,1,281,5,0,0,1,1,-1,65,-1,53
mb_cap,1,282,5,0,0,0,0,0,65,0,53
mb_cap,1,283,5,0,0,0,0,0,65,0,53
mb_cap,1,284,5,2,0,0,0,2,67,0,53
mb_cap,1,285,5,0,0,1,0,-1,66,0,53
mb_cap,1,286,5,0,0,2,0,-2,64,0,53
mb_cap,1,287,5,1,0,1,0,0,64,0,53
mb_cap,1,288,5,2,0,0,0,2,66,0,53
mb_cap,1,289,5,0,0,2,0,-2,64,0,53
mb_cap,1,290,5,0,0,0,0,0,64,0,53
mb_cap,1,291,5,1,2,1,2,0,64,0,53
mb_cap,1,292,5,2,0,1,0,1,65,0,53
mb_cap,1,293,5,0,0,0,0,0,65,0,53
mb_cap,1,294,5,0,0,0,0,0,65,0,53
mb_cap,1,295,5,1,0,2,0,-1,64,0,53
mb_cap,1,296,5,2,0,0,0,2,66,0,53
mb_cap,1,297,5,0,1,0,1,0,66,0,53
mb_cap,1,298,5,0,0,2,0,-2,64,0,53
mb_cap,1,299,5,0,0,1,0,-1,63,0,53
mb_cap,1,300,5,3,0,1,0,2,65,0,53
mb_cap,1,301,6,0,0,0,0,0,65,0,53
mb_cap,1,302,6,0,0,0,0,0,65,0,53
mb_cap,1,303,6,0,0,1,0,-1,64,0,53
mb_cap,1,304,6,0,0,1,0,-1,63,0,53
mb_cap,1,305,6,1,0,0,0,1,64,0,53
mb_cap,1,306,6,0,0,0,0,0,64,0,53
mb_cap,1,307,6,0,0,1,0,-1,63,0,53
mb_cap,1,308,6,2,0,0,0,2,65,0,53
mb_cap,1,309,6,0,0,1,0,-1,64,0,53
mb_cap,1,310,6,0,0,1,0,-1,63,0,53
mb_cap,1,311,6,2,0,1,0,1,64,0,53
mb_cap,1,312,6,0,0,0,0,0,64,0,53
mb_cap,1,313,6,0,0,0,0,0,64,0,53
mb_cap,1,314,6,0,0,0,0,0,64,0,53
mb_cap,1,315,6,0,0,0,0,0,64,0,53
mb_cap,1,316,6,3,0,1,0,2,66,0,53
mb_cap,1,317,6,0,4,0,2,0,66,2,55
mb_cap,1,318,6,1,3,0,3,1,67,0,55
mb_cap,1,319,6,0,0,1,0,-1,66,0,55
mb_cap,1,320,6,0,5,1,5,-1,65,0,55
