machine_id,series,n_seconds,mean,sd,median,p90,p99,max,prop_zero,var_mean
POOLED,tcp_end,17997,0.4860254486858921,1.254547970004882,0,2,5,32,0.7779074290159471,3.2382884750146954
greg_cap_1,tcp_end,7196,0.20497498610339077,1.1228043601014785,0,0,4,32,0.9181489716509171,6.15045598991767
hendo_cap,tcp_end,3601,0.05998333796167731,0.47406152876565794,0,0,2,8,0.9763954457095251,3.746612654320988
mb_cap,tcp_end,7200,0.98,1.4656847201383598,0,3,6,22,0.5384722222222222,2.192073162088839
POOLED,tcp_new,17997,0.4860254486858921,1.2675471085489411,0,2,5,33,0.7781296882813802,3.3057439208890926
greg_cap_1,tcp_new,7196,0.20497498610339077,1.1255243173518343,0,0,5,33,0.9175931072818232,6.180290644397593
hendo_cap,tcp_new,3601,0.05998333796167731,0.481041577955897,0,0,2,8,0.9772285476256596,3.8577546296296297
mb_cap,tcp_new,7200,0.98,1.4902153433951197,0,3,6,23,0.5391666666666667,2.2660630302961575
POOLED,udp_end,17997,0.5308106906706673,2.0342172618519605,0,2,8,77,0.8529199310996277,7.79569805421245
greg_cap_1,udp_end,7196,0.5755975541967759,2.419513988450599,0,1,10,65,0.8742356864924958,10.170383625895042
hendo_cap,udp_end,3601,0.29991668980838654,1.7267575567299975,0,0,6,77,0.9164121077478479,9.941733024691358
mb_cap,udp_end,7200,0.6015277777777778,1.7229960949038217,0,2,8.010000000000218,23,0.7998611111111111,4.935292521354768
POOLED,udp_new,17997,0.5308106906706673,2.1560091601281566,0,2,9,77,0.8686447741290215,8.757124866274642
greg_cap_1,udp_new,7196,0.5755975541967759,2.5297637530714185,0,1,11,66,0.8847971095052807,11.118366642965551
hendo_cap,udp_new,3601,0.29991668980838654,1.7737350715844222,0,0,6,77,0.918911413496251,10.490033436213993
mb_cap,udp_new,7200,0.6015277777777778,1.9018047004958822,0,2,9,30,0.8273611111111111,6.012791515946264
