site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon,reqs,resps,request_time,current_temp,current_temp_time,station_id,approx_distance
004095,04,LEGENDRE ISLAND,1992,..,-20.3583,116.8431,GPS,WA,29.0,29.5,94307,"Dampier Archipelago, WA ",/places/wa/9M8T/?location=Dampier Archipelago,-20.358,116.843,,,2025-03-24T20:08:07Z,30.1,3:50am,94307,3.1
004100,04,BEDOUT ISLAND,1993,..,-19.5894,119.1000,.....,WA,8.6,9.4,94310,"Unnamed location, WA ",/places/wa/9W4H/?location=Unnamed location,-19.589,119.100,,,2025-03-24T20:08:07Z,27.8,3:50am,94312,97.8
004106,04,MARBLE BAR,2000,..,-21.1756,119.7497,GPS,WA,182.3,182.8,95317,"Marble Bar, WA ",/places/wa/marble-bar/,-21.176,119.750,,,2025-03-24T20:08:07Z,27.4,3:50am,95317,3.1
004109,04,PORT HEDLAND AIRPORT (AUTO EVAP),2024,..,-20.3725,118.6317,GPS,WA,6.4,7.3,99292,"Wedgefield, WA ",/places/wa/wedgefield/,-20.372,118.632,,,2025-03-24T20:08:07Z,27.8,3:50am,94312,3.9
005007,05,LEARMONTH AIRPORT,1945,..,-22.2406,114.0967,GPS,WA,5.0,5.5,94302,"Learmonth, WA ",/places/wa/8UMP/?location=Learmonth,-22.241,114.097,,,2025-03-24T20:08:07Z,28.4,3:50am,94302,2.8
005008,05,MARDIE,1885,..,-21.1906,115.9797,GPS,WA,11.0,12.0,94306,"Mardie, WA ",/places/wa/9JJH/?location=Mardie,-21.191,115.980,,,2025-03-24T20:08:07Z,27.7,3:50am,94306,NA
005017,05,ONSLOW AIRPORT,1940,..,-21.6689,115.1092,GPS,WA,10.5,11.0,95305,"Onslow, WA ",/places/wa/onslow/,-21.669,115.109,,,2025-03-24T20:08:07Z,29.2,3:50am,95305,3.2
005094,05,BARROW ISLAND AIRPORT,1998,..,-20.8740,115.4066,.....,WA,6.4,6.9,95304,"Barrow Island, WA ",/places/wa/9J6E/?location=Barrow Island,-20.874,115.407,,,2025-03-24T20:08:07Z,30.2,3:50am,95304,3.6
005098,05,KARIJINI NORTH,2018,..,-22.2999,118.4498,GPS,WA,474.0,474.5,94330,"Karijini, WA ",/places/wa/9KRQ/?location=Karijini,-22.300,118.450,,,2025-03-24T20:08:07Z,29.3,3:50am,94330,2.6
005102,05,LEARMONTH AIRPORT (AUTO EVAP),2024,..,-22.2406,114.0967,GPS,WA,5.0,5.5,99293,"Learmonth, WA ",/places/wa/8UMP/?location=Learmonth,-22.241,114.097,,,2025-03-24T20:08:07Z,28.4,3:50am,94302,2.8
006011,06,CARNARVON AIRPORT,1945,..,-24.8878,113.6700,GPS,WA,4.0,4.5,94300,"Carnarvon, WA ",/places/wa/carnarvon/,-24.888,113.670,,,2025-03-24T20:08:07Z,26.8,3:50am,94300,2.1
006022,06,GASCOYNE JUNCTION,1907,..,-25.0544,115.2100,GPS,WA,144.0,145.0,94410,"Gascoyne Junction, WA ",/places/wa/gascoyne-junction/,-25.054,115.210,,,2025-03-24T20:08:07Z,31.1,3:20am,99150,0.8
